# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug 26 23:24:01 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim
1,11 Com b,11 Com,2,1,Radial Velocity,323.21000000000,0.06000000000,-0.05000000000,0,1.1780000000,0.0000000000,0.0000000000,0,12.20000000,,,0,1.09000000,,,0,4914.89848585,39.09289406,-39.72855088,0,15.46400000,0.12300000,-0.12500000,0,14.900000,,,0,0.238000,0.007000,-0.007000,0
2,11 UMi b,11 UMi,1,1,Radial Velocity,516.21997000000,3.20000000000,-3.20000000000,0,1.5300000000,0.0700000000,-0.0700000000,0,12.30000000,,,0,1.09000000,,,0,4684.81420000,794.57500000,-794.57500000,0,14.74000000,2.50000000,-2.50000000,0,13.800000,,,0,0.080000,0.030000,-0.030000,0
3,14 And b,14 And,1,1,Radial Velocity,186.76000000000,0.11000000000,-0.12000000000,0,0.7750000000,0.0000000000,0.0000000000,0,13.10000000,,,0,1.16000000,,,0,1131.15130051,36.23243840,-38.77506565,0,3.55900000,0.11400000,-0.12200000,0,2.760000,,,0,0.000000,,,0
4,14 Her b,14 Her,1,2,Radial Velocity,1765.03890000000,1.67709000000,-1.87256000000,0,2.7740000000,0.1090000000,-0.1200000000,0,12.60000000,,,0,1.12000000,,,0,2559.47216157,518.69596022,-280.64248338,0,8.05300000,1.63200000,-0.88300000,0,7.030000,,,0,0.373000,0.008000,-0.006000,0
5,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,798.50000000000,1.00000000000,-1.00000000000,0,1.6600000000,0.0300000000,-0.0300000000,0,13.50000000,,,0,1.20000000,,,0,565.73740000,25.42640000,-25.42640000,0,1.78000000,0.08000000,-0.08000000,0,1.260000,,,0,0.680000,0.020000,-0.020000,0
6,17 Sco b,17 Sco,1,1,Radial Velocity,578.38000000000,2.01000000000,-2.09000000000,0,1.4500000000,0.0200000000,-0.0200000000,0,12.90000000,,,0,1.15000000,,,0,1373.01871824,47.67426105,-38.13940884,0,4.32000000,0.15000000,-0.12000000,0,3.510000,,,0,0.060000,0.030000,-0.020000,0
7,18 Del b,18 Del,2,1,Radial Velocity,982.85000000000,1.06000000000,-0.92000000000,0,2.4760000000,0.0020000000,-0.0020000000,0,12.50000000,,,0,1.12000000,,,0,2926.24614325,50.85254512,-24.47278734,0,9.20700000,0.16000000,-0.07700000,0,8.230000,,,0,0.024000,0.007000,-0.018000,0
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,,,,,330.0000000000,,,0,18.64700000,,,0,1.66400000,,,0,3000.00000000,300.00000000,-300.00000000,0,8.00000000,1.00000000,-1.00000000,0,2.540000,,,0,,,,
9,24 Boo b,24 Boo,1,1,Radial Velocity,30.33000000000,0.00000000000,-0.01000000000,0,0.1940000000,0.0000000000,0.0000000000,0,13.90000000,,,0,1.24000000,,,0,280.64248338,11.44182265,-13.66662150,0,0.88300000,0.03600000,-0.04300000,0,0.574000,,,0,0.032000,0.039000,-0.023000,0
10,24 Sex b,24 Sex,1,2,Radial Velocity,452.80000000000,2.10000000000,-4.50000000000,0,1.3330000000,0.0040000000,-0.0090000000,0,13.40000000,,,0,1.19000000,,,0,632.46000000,82.63000000,-120.77000000,0,1.99000000,0.26000000,-0.38000000,0,1.440000,,,0,0.090000,0.140000,-0.060000,0
11,24 Sex c,24 Sex,1,2,Radial Velocity,883.00000000000,32.40000000000,-13.80000000000,0,2.0800000000,0.0500000000,-0.0200000000,0,13.90000000,,,0,1.24000000,,,0,273.32000000,111.24000000,-69.92000000,0,0.86000000,0.35000000,-0.22000000,0,0.559000,,,0,0.290000,0.160000,-0.090000,0
12,2M0437 b,2MASS J04372171+2651014,1,1,Imaging,,,,,118.0000000000,1.3000000000,-1.3000000000,0,13.00000000,,,0,1.16000000,,,0,1271.31362800,317.82840700,-317.82840700,0,4.00000000,1.00000000,-1.00000000,0,3.180000,,,0,,,,
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,,,,,84.0000000000,,,0,12.30000000,,,0,1.10000000,,,0,4131.79000000,317.83000000,-317.83000000,0,13.00000000,1.00000000,-1.00000000,0,12.200000,,,0,,,,
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,,,,,52.0000000000,6.0000000000,-6.0000000000,0,11.20900000,,,0,1.00000000,,,0,7786.50000000,794.50000000,-794.50000000,0,24.50000000,2.50000000,-2.50000000,0,30.400000,,,0,,,,
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,,,,,156.0000000000,10.0000000000,-10.0000000000,0,16.14096000,0.33627000,-0.33627000,0,1.44000000,0.03000000,-0.03000000,0,4417.83700000,349.61300000,-349.61300000,0,13.90000000,1.10000000,-1.10000000,0,5.770000,,,0,,,,
